Date,above_20,above_60,above_120,above_200
2024-01-31,41.35338345864661,38.03879310344828,40.54054054054054,32.391304347826086
2024-02-01,51.34264232008593,47.30603448275862,48.32432432432432,38.69565217391304
2024-02-02,60.580021482277125,53.771551724137936,52.648648648648646,42.5
2024-02-05,59.93555316863588,54.633620689655174,53.08108108108108,42.391304347826086
2024-02-06,57.78732545649839,51.185344827586206,51.67567567567568,40.0
2024-02-07,62.513426423200855,53.66379310344828,53.729729729729726,42.71739130434782
2024-02-08,63.90977443609023,53.771551724137936,54.59459459459459,43.913043478260875
2024-02-13,70.89151450053706,57.650862068965516,56.32432432432432,45.76086956521739
2024-02-14,70.89151450053706,57.11206896551724,56.54054054054054,44.130434782608695
2024-02-15,70.46186895810956,56.08180839612486,55.02702702702703,43.80434782608696
2024-02-16,75.93984962406014,58.988159311087195,57.88336933045356,46.41304347826087
2024-02-19,80.88077336197637,63.11827956989248,61.23110151187905,49.02173913043478
2024-02-20,76.26208378088077,62.473118279569896,60.367170626349896,48.369565217391305
2024-02-21,72.50268528464017,60.322580645161295,59.611231101511876,46.630434782608695
2024-02-22,67.45435016111708,58.06451612903226,58.855291576673864,47.391304347826086
2024-02-23,61.76154672395274,56.55913978494623,57.66738660907127,46.630434782608695
2024-02-26,48.97959183673469,52.25806451612903,55.291576673866096,44.23913043478261
2024-02-27,33.08270676691729,45.053763440860216,50.323974082073434,40.869565217391305
2024-02-28,36.30504833512352,47.31182795698925,52.80777537796977,41.73913043478261
2024-02-29,33.619763694951665,44.946236559139784,51.18790496760259,41.84782608695652
2024-03-04,34.371643394199786,45.59139784946237,51.18790496760259,41.84782608695652
2024-03-05,30.71965628356606,43.01075268817204,49.56803455723542,40.32608695652174
2024-03-06,29.001074113856067,42.04301075268817,48.38012958963283,40.43478260869565
2024-03-07,28.141783029001072,40.0,46.220302375809936,38.58695652173913
2024-03-08,31.364124597207304,41.72043010752688,47.94816414686825,39.67391304347826
2024-03-11,28.4640171858217,41.29032258064516,46.868250539956804,40.0
2024-03-12,28.786251342642323,40.32258064516129,47.30021598272138,38.47826086956522
2024-03-13,29.860365198711065,40.75268817204301,48.16414686825054,39.67391304347826
2024-03-14,34.15682062298603,43.225806451612904,50.21598272138229,40.869565217391305
2024-03-15,32.33082706766917,41.075268817204304,47.46494066882416,40.43478260869565
2024-03-18,33.08270676691729,42.365591397849464,49.083063646170444,41.19565217391305
2024-03-19,31.041890440386684,41.72043010752688,48.43581445523193,39.565217391304344
2024-03-20,37.91621911922664,43.87096774193549,50.161812297734635,41.73913043478261
2024-03-21,46.723952738990334,47.634408602150536,52.75080906148867,43.648208469055376
2024-03-22,52.95381310418904,48.87218045112782,55.016181229773466,44.68546637744035
2024-03-25,51.4500537056928,50.161117078410314,54.69255663430421,45.01084598698482
2024-03-26,55.15021459227468,51.4500537056928,55.016181229773466,45.22776572668113
2024-03-27,53.32618025751073,48.5499462943072,53.72168284789643,45.119305856832966
2024-03-28,48.927038626609445,47.90547798066595,52.75080906148867,44.143167028199564
2024-03-29,41.84549356223176,42.42749731471536,49.78448275862069,42.624728850325376
2024-04-01,48.60515021459227,47.368421052631575,53.66379310344828,44.46854663774403
2024-04-02,40.343347639484975,42.64232008592911,50.10775862068966,43.38394793926248
2024-04-03,34.227467811158796,38.34586466165413,45.797413793103445,41.106290672451195
2024-04-04,35.1931330472103,39.31256713211601,45.9051724137931,42.19088937093275
2024-04-05,30.686695278969957,36.94951664876477,43.96551724137931,40.130151843817785
2024-04-08,26.824034334763947,35.338345864661655,41.702586206896555,38.20346320346321
2024-04-09,26.394849785407725,35.9828141783029,41.05603448275862,38.74458874458874
2024-04-11,24.570815450643778,31.57894736842105,38.03879310344828,37.22943722943723
2024-04-12,24.678111587982833,31.041890440386684,35.991379310344826,36.36363636363637
2024-04-15,23.390557939914164,28.893662728249193,36.314655172413794,35.38961038961039
2024-04-16,16.30901287553648,23.308270676691727,30.81896551724138,31.926406926406926
2024-04-17,17.27467811158798,23.8453276047261,30.280172413793103,31.70995670995671
2024-04-18,22.96137339055794,27.175080558539204,34.59051724137931,35.064935064935064
2024-04-19,19.742489270386265,25.241675617615467,32.435344827586206,33.549783549783555
2024-04-22,28.6480686695279,29.96777658431794,37.17672413793103,37.121212121212125
2024-04-23,32.29613733905579,31.256713211600427,37.5,37.77056277056277
2024-04-24,39.163090128755364,34.049409237379166,38.577586206896555,39.285714285714285
2024-04-25,40.02145922746781,32.33082706766917,39.116379310344826,40.04329004329004
2024-04-26,45.01607717041801,33.40494092373791,39.008620689655174,41.34199134199134
2024-04-29,63.022508038585215,39.20515574650913,44.18103448275862,43.18181818181818
2024-04-30,66.2379421221865,40.171858216971,44.827586206896555,44.26406926406926
2024-05-02,66.13076098606645,40.38668098818475,43.31896551724138,43.93939393939394
2024-05-03,67.95284030010717,40.171858216971,44.18103448275862,45.02164502164502
2024-05-07,73.41907824222936,43.71643394199785,46.875,45.34632034632035
2024-05-08,78.77813504823152,46.40171858216971,48.491379310344826,47.18614718614719
2024-05-09,74.81243301178992,45.22019334049409,47.30603448275862,46.64502164502164
2024-05-10,75.77706323687032,45.54242749731471,47.62931034482759,47.72727272727273
2024-05-13,70.63236870310826,45.327604726100965,47.62931034482759,47.4025974025974
2024-05-14,73.09753483386923,48.65735767991407,49.56896551724138,48.917748917748916
2024-05-16,75.88424437299035,51.127819548872175,50.80731969860065,51.082251082251084
2024-05-17,66.66666666666666,49.40923737916219,49.08503767491927,49.02597402597403
2024-05-20,63.9871382636656,51.4500537056928,48.924731182795696,49.458874458874455
2024-05-21,56.91318327974276,48.97959183673469,46.45161290322581,47.943722943722946
2024-05-22,54.448017148981776,49.08700322234157,47.52688172043011,48.80952380952381
2024-05-23,51.554126473740624,48.1203007518797,46.98924731182796,48.16017316017316
2024-05-24,43.729903536977496,45.435016111707846,45.26881720430108,46.7027027027027
2024-05-27,42.765273311897104,46.24463519313305,44.623655913978496,46.91891891891892
2024-05-28,42.443729903536976,46.56652360515021,44.946236559139784,46.91891891891892
2024-05-29,35.79849946409432,43.13304721030043,42.25806451612903,45.94594594594595
2024-05-30,29.903536977491964,38.412017167381975,40.53763440860215,43.24324324324324
2024-05-31,34.29796355841372,42.48927038626609,42.25806451612903,45.08108108108108
2024-06-03,44.90889603429796,50.107296137339056,47.74193548387097,48.75675675675676
2024-06-04,35.36977491961415,45.493562231759654,45.053763440860216,46.81081081081081
2024-06-05,35.54603854389722,45.27896995708154,45.806451612903224,47.24324324324324
2024-06-07,37.152034261241965,46.56652360515021,46.55913978494623,47.67567567567568
2024-06-10,37.79443254817988,47.103004291845494,47.41935483870968,48.10810810810811
2024-06-11,35.54603854389722,45.60085836909871,45.806451612903224,47.56756756756757
2024-06-12,38.97216274089936,47.96137339055794,46.45161290322581,48.54054054054054
2024-06-13,39.50749464668094,47.96137339055794,46.88172043010753,48.54054054054054
2024-06-14,39.50749464668094,46.45922746781116,45.483870967741936,48.75675675675676
2024-06-17,40.04282655246253,45.92274678111588,45.913978494623656,48.488120950323975
2024-06-18,40.471092077087796,46.24463519313305,46.236559139784944,47.94816414686825
2024-06-19,39.50749464668094,44.31330472103004,45.59139784946237,47.19222462203024
2024-06-20,45.93147751605996,46.88841201716738,47.096774193548384,47.51619870410367
2024-06-21,40.899357601713064,45.493562231759654,45.22019334049409,46.32829373650108
2024-06-24,33.61884368308351,41.52360515021459,41.997851772287866,44.70842332613391
2024-06-25,37.04496788008566,43.66952789699571,44.575725026852844,46.220302375809936
2024-06-26,34.68950749464668,42.91845493562232,42.32008592910849,44.81641468682505
2024-06-27,30.513918629550325,39.12111468381565,40.38668098818475,42.22462203023758
2024-06-28,36.50963597430407,42.55091103965702,42.857142857142854,45.35637149028078
2024-07-01,34.36830835117773,42.229367631296896,42.21267454350161,45.57235421166307
